variant,trial,fnd,hnd,lnd,avg_gini,avg_m_mid,final_m
full,42,1,67,500,0.4219406558947212,1.2637348981100738,1.5
full,43,1,70,460,0.4030181948957313,1.3217182141550952,0.8
full,44,1,70,454,0.4214338856291978,1.2966308130891158,1.5
full,45,1,68,500,0.41895959102568464,1.320191081741984,1.0
full,46,1,69,494,0.39172994344300666,1.300409573321065,1.5
full,47,1,73,429,0.4039049609411538,1.3457713006236185,1.2
full,48,1,73,359,0.45936360555755384,1.276179625316211,1.5
full,49,1,68,371,0.39148587650170497,1.3418324992789579,1.2
full,50,1,64,500,0.33689674127561425,1.3549990005084647,2.0
full,51,1,67,500,0.40585336426207164,1.2295472090940283,0.5
no-debt,42,1,68,455,0.4023665318949592,1.3011665396576866,0.5
no-debt,43,1,69,500,0.47526678247760834,1.2385968367186528,0.8
no-debt,44,1,68,500,0.4281569203624083,1.2505869284501276,1.5
no-debt,45,1,68,454,0.4455660197407067,1.3277920408185797,1.5
no-debt,46,1,66,475,0.43922307495654694,1.2699236626107853,0.8
no-debt,47,1,73,500,0.4970745088179792,1.2587944060211824,1.0
no-debt,48,1,68,500,0.40815506120311784,1.4039199121284223,2.0
no-debt,49,1,69,445,0.4291471399305647,1.2931550382103936,2.0
no-debt,50,1,70,500,0.43559049129270866,1.2595774403408622,1.2
no-debt,51,1,70,500,0.4392174358500976,1.3015077260470092,1.5
no-bandit,42,1,62,500,0.388368523904257,1.0,1.0
no-bandit,43,1,65,390,0.4318592056875617,1.0,1.0
no-bandit,44,1,64,500,0.44441195909309217,1.0,1.0
no-bandit,45,1,66,393,0.4608883091745146,1.0,1.0
no-bandit,46,1,64,500,0.4358868942659839,1.0,1.0
no-bandit,47,1,66,405,0.44516346451101424,1.0,1.0
no-bandit,48,1,66,481,0.4433323161785675,1.0,1.0
no-bandit,49,1,65,361,0.41768001556439266,1.0,1.0
no-bandit,50,1,62,382,0.4308059160500731,1.0,1.0
no-bandit,51,1,68,444,0.42511829429880643,1.0,1.0
minimal,42,1,69,406,0.4304179195274582,1.0,1.0
minimal,43,1,63,497,0.4481321695309144,1.0,1.0
minimal,44,1,65,399,0.4252165394009311,1.0,1.0
minimal,45,1,64,475,0.42638690777214566,1.0,1.0
minimal,46,1,65,500,0.4591513201755876,1.0,1.0
minimal,47,1,64,469,0.4474530194727209,1.0,1.0
minimal,48,1,64,500,0.39959842966867204,1.0,1.0
minimal,49,1,65,473,0.4244435698397759,1.0,1.0
minimal,50,1,66,429,0.4451561205760099,1.0,1.0
minimal,51,1,64,454,0.4506195167034894,1.0,1.0
