variant,trial,fnd,hnd,lnd,avg_gini,avg_energy_std
full,42,33,51,258,0.2511276941697339,0.05239269798589079
full,43,24,46,154,0.2863671412922983,0.08913001868889804
full,44,22,49,187,0.2831144132247692,0.07256922427215054
full,45,25,50,201,0.2223472716154763,0.06878798264576656
full,46,30,51,193,0.32593620160465325,0.0617567602361585
full,47,35,54,183,0.3253046768580225,0.06132624398419157
full,48,23,52,366,0.11622627742582761,0.03573384897183648
full,49,29,55,334,0.1671842992752699,0.0424565529595966
full,50,19,45,198,0.3670523537665943,0.10091816499094625
full,51,29,44,182,0.30350429634586207,0.08514721417175636
full,52,25,47,243,0.18793370458224087,0.03358942506547588
full,53,29,61,156,0.36105040953679196,0.06535234966215785
full,54,30,51,169,0.26624181575470524,0.0613375884571622
full,55,29,53,372,0.03841437578350123,0.007265400260072491
full,56,25,58,157,0.34185580540063226,0.06717633956420496
no-debt,42,25,55,158,0.38012417464677645,0.07476003207770161
no-debt,43,15,44,170,0.2877509900155184,0.0890864534079147
no-debt,44,22,48,222,0.3430712411689956,0.0879771565157201
no-debt,45,27,51,207,0.3035810350424898,0.08299376645963116
no-debt,46,26,50,171,0.37424274149416475,0.08211565045473046
no-debt,47,31,53,301,0.1737966240561438,0.04255040618028089
no-debt,48,29,48,269,0.2827244052174714,0.08019181266687721
no-debt,49,22,58,289,0.15273627929085565,0.033757840730726504
no-debt,50,24,46,208,0.29964589465842884,0.08190656247304472
no-debt,51,26,44,188,0.34658471177805633,0.07888172877384997
no-debt,52,30,46,237,0.25550607312724233,0.04303726222359691
no-debt,53,18,54,132,0.3702569312300013,0.06885741298479804
no-debt,54,25,48,148,0.30660002642066664,0.07997784754689449
no-debt,55,27,54,230,0.3265373786548473,0.07097021390095336
no-debt,56,28,59,173,0.2745080117781253,0.054058364319958294
