epoch,ABC-Auction_trial0,ABC-Auction_trial1,ABC-Auction_trial2,ABC-Auction_trial3,ABC-Auction_trial4,ABC-Auction_trial5,ABC-Auction_trial6,ABC-Auction_trial7,ABC-Auction_trial8,ABC-Auction_trial9,ABC-Auction_trial10,ABC-Auction_trial11,ABC-Auction_trial12,ABC-Auction_trial13,ABC-Auction_trial14
0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
4,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
6,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
8,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
9,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
11,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
12,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
13,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
14,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
15,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
16,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
18,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
19,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
20,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
21,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
22,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
23,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
26,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
27,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
28,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
29,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
30,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
31,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
32,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
