algorithm,seed,trial,fnd,hnd,lnd,initial_nodes,initial_energy,final_alive,final_energy,total_epochs
ABC-Auction,42,0,158,212,500,50,99.68125334851811,6,2.9395113620612325,500
ABC-Auction,43,1,143,196,500,50,99.02179323377945,9,6.505812763376087,500
ABC-Auction,44,2,139,169,500,50,102.17995148198762,6,2.7284232173144667,500
ABC-Auction,45,3,156,207,500,50,101.31617559769394,4,2.680192379588071,500
ABC-Auction,46,4,148,197,500,50,100.86650724420426,8,3.6670319276217684,500
ABC-Auction,47,5,145,226,500,50,101.1273491785289,5,1.2630323369234782,500
ABC-Auction,48,6,144,206,500,50,102.20231058042052,5,3.45085919752596,500
ABC-Auction,49,7,140,238,500,50,102.17233262239101,6,4.5691348696103455,500
ABC-Auction,50,8,139,189,500,50,101.18089634502887,9,7.575892016004315,500
ABC-Auction,51,9,139,186,500,50,100.69367086457679,10,4.960028195733906,500
ABC-Auction,52,10,146,183,500,50,101.31373444845121,7,3.422783565973549,500
ABC-Auction,53,11,151,250,500,50,102.06873216515206,5,2.1971724179649126,500
ABC-Auction,54,12,137,199,500,50,102.67807361000176,6,1.7187627367571783,500
ABC-Auction,55,13,154,224,500,50,101.22002435718932,4,2.529863637454432,500
ABC-Auction,56,14,144,213,500,50,102.3833943539311,5,1.1078317693622013,500
