algorithm,seed,trial,fnd,hnd,lnd,initial_nodes,initial_energy,final_alive,final_energy,total_epochs
ABC-Auction,42,0,158,212,500,50,99.68125334851811,6,2.9395113620612325,500
ABC-Auction,43,1,143,196,500,50,99.02179323377945,9,6.505812763376087,500
ABC-Auction,44,2,139,169,500,50,102.17995148198762,6,2.7284232173144667,500
ABC-Auction,45,3,156,207,500,50,101.31617559769394,4,2.680192379588071,500
ABC-Auction,46,4,148,197,500,50,100.86650724420426,8,3.6670319276217684,500
ABC-Auction,47,5,145,226,500,50,101.1273491785289,5,1.2630323369234782,500
ABC-Auction,48,6,144,206,500,50,102.20231058042052,5,3.45085919752596,500
ABC-Auction,49,7,140,238,500,50,102.17233262239101,6,4.5691348696103455,500
ABC-Auction,50,8,139,189,500,50,101.18089634502887,9,7.575892016004315,500
ABC-Auction,51,9,139,186,500,50,100.69367086457679,10,4.960028195733906,500
ABC-Auction,52,10,146,183,500,50,101.31373444845121,7,3.422783565973549,500
ABC-Auction,53,11,151,250,500,50,102.06873216515206,5,2.1971724179649126,500
ABC-Auction,54,12,137,199,500,50,102.67807361000176,6,1.7187627367571783,500
ABC-Auction,55,13,154,224,500,50,101.22002435718932,4,2.529863637454432,500
ABC-Auction,56,14,144,213,500,50,102.3833943539311,5,1.1078317693622013,500
HEED,42,0,50,248,500,50,99.68125334851811,6,1.8870628426437426,500
HEED,43,1,36,202,500,50,99.02179323377945,5,2.357473222019506,500
HEED,44,2,33,198,500,50,102.17995148198762,6,2.263292378329849,500
HEED,45,3,35,200,500,50,101.31617559769394,5,2.0395280468163985,500
HEED,46,4,30,242,500,50,100.86650724420426,7,2.274305004980526,500
HEED,47,5,58,243,500,50,101.1273491785289,9,2.214438331689371,500
HEED,48,6,38,228,500,50,102.20231058042052,3,1.6571246538220767,500
HEED,49,7,49,250,500,50,102.17233262239101,4,0.9942439078035548,500
HEED,50,8,38,214,500,50,101.18089634502887,7,2.644044240119148,500
HEED,51,9,51,204,500,50,100.69367086457679,8,2.9110166653725633,500
HEED,52,10,30,204,500,50,101.31373444845121,5,2.2607167890678586,500
HEED,53,11,43,257,500,50,102.06873216515206,4,1.90001259902901,500
HEED,54,12,36,217,500,50,102.67807361000176,6,3.2244297308208587,500
HEED,55,13,24,215,500,50,101.22002435718932,4,2.4382493438410093,500
HEED,56,14,34,204,500,50,102.3833943539311,5,2.4094183039357846,500
LEACH,42,0,67,150,228,50,99.68125334851811,0,0.0,228
LEACH,43,1,51,128,220,50,99.02179323377945,0,0.0,220
LEACH,44,2,50,120,193,50,102.17995148198762,0,0.0,193
LEACH,45,3,42,141,232,50,101.31617559769394,0,0.0,232
LEACH,46,4,60,139,216,50,100.86650724420426,0,0.0,216
LEACH,47,5,66,140,225,50,101.1273491785289,0,0.0,225
LEACH,48,6,40,126,232,50,102.20231058042052,0,0.0,232
LEACH,49,7,53,150,205,50,102.17233262239101,0,0.0,205
LEACH,50,8,35,120,219,50,101.18089634502887,0,0.0,219
LEACH,51,9,46,127,231,50,100.69367086457679,0,0.0,231
LEACH,52,10,52,133,177,50,101.31373444845121,0,0.0,177
LEACH,53,11,45,142,200,50,102.06873216515206,0,0.0,200
LEACH,54,12,36,143,232,50,102.67807361000176,0,0.0,232
LEACH,55,13,65,142,218,50,101.22002435718932,0,0.0,218
LEACH,56,14,53,160,256,50,102.3833943539311,0,0.0,256
