algorithm,seed,trial,fnd,hnd,lnd,initial_nodes,initial_energy,final_alive,final_energy,total_epochs
HEED,42,0,50,248,500,50,99.68125334851811,6,1.8870628426437426,500
HEED,43,1,36,202,500,50,99.02179323377945,5,2.357473222019506,500
HEED,44,2,33,198,500,50,102.17995148198762,6,2.263292378329849,500
HEED,45,3,35,200,500,50,101.31617559769394,5,2.0395280468163985,500
HEED,46,4,30,242,500,50,100.86650724420426,7,2.274305004980526,500
HEED,47,5,58,243,500,50,101.1273491785289,9,2.214438331689371,500
HEED,48,6,38,228,500,50,102.20231058042052,3,1.6571246538220767,500
HEED,49,7,49,250,500,50,102.17233262239101,4,0.9942439078035548,500
HEED,50,8,38,214,500,50,101.18089634502887,7,2.644044240119148,500
HEED,51,9,51,204,500,50,100.69367086457679,8,2.9110166653725633,500
HEED,52,10,30,204,500,50,101.31373444845121,5,2.2607167890678586,500
HEED,53,11,43,257,500,50,102.06873216515206,4,1.90001259902901,500
HEED,54,12,36,217,500,50,102.67807361000176,6,3.2244297308208587,500
HEED,55,13,24,215,500,50,101.22002435718932,4,2.4382493438410093,500
HEED,56,14,34,204,500,50,102.3833943539311,5,2.4094183039357846,500
