algorithm,seed,trial,fnd,hnd,lnd,initial_nodes,initial_energy,final_alive,final_energy,total_epochs
LEACH,42,0,67,150,228,50,99.68125334851811,0,0,228
LEACH,43,1,51,128,220,50,99.02179323377945,0,0,220
LEACH,44,2,50,120,193,50,102.17995148198762,0,0,193
LEACH,45,3,42,141,232,50,101.31617559769394,0,0,232
LEACH,46,4,60,139,216,50,100.86650724420426,0,0,216
LEACH,47,5,66,140,225,50,101.1273491785289,0,0,225
LEACH,48,6,40,126,232,50,102.20231058042052,0,0,232
LEACH,49,7,53,150,205,50,102.17233262239101,0,0,205
LEACH,50,8,35,120,219,50,101.18089634502887,0,0,219
LEACH,51,9,46,127,231,50,100.69367086457679,0,0,231
LEACH,52,10,52,133,177,50,101.31373444845121,0,0,177
LEACH,53,11,45,142,200,50,102.06873216515206,0,0,200
LEACH,54,12,36,143,232,50,102.67807361000176,0,0,232
LEACH,55,13,65,142,218,50,101.22002435718932,0,0,218
LEACH,56,14,53,160,256,50,102.3833943539311,0,0,256
